"","gene1","gene2","max","min","spread","rms_mean","rms_auto"
"2307",30,46,0.41585082387127,0.4158508238682,3.06998870769348e-12,0.000193169200769366,1.9364971644065e-12
"2308",30,47,0.415631330626205,0.415631295946785,3.46794200023481e-08,2.6340062574894e-05,2.44064706810888e-08
"2309",30,48,0.415665093159021,0.415665032332733,6.08262880064103e-08,7.4091941947625e-06,3.5164725490868e-08
"2310",30,49,0.415654299365735,0.415654118880261,1.80485474010617e-07,3.4419720929294e-06,1.04425553469657e-07
"2311",30,50,0.415637633405296,0.415637632202898,1.20239801448818e-09,2.00218052395113e-05,7.03703598344623e-10
"2312",30,51,0.415662799723452,0.415662763819989,3.59034629804356e-08,5.12588183223778e-06,2.34337669662821e-08
"2313",30,52,0.415652126193002,0.415652060340246,6.58527560259969e-08,5.55982623826311e-06,5.09424430406731e-08
"2314",30,53,0.415643896687853,0.415643795364895,1.01322958023786e-07,1.38050772182334e-05,5.91188845729671e-08
"2315",30,54,0.415850823870244,0.415850823869268,9.75997060947975e-13,0.000193169200769394,6.45167233953485e-13
"2316",30,55,0.415674179872681,0.415674177944373,1.92830801326593e-09,1.65241888017962e-05,1.13694013654116e-09
"2317",30,56,0.415657505837332,0.415657457648033,4.81892989956378e-08,1.74843467751915e-07,2.78983200135973e-08
"2318",30,57,0.415609037939311,0.415609036605585,1.33372596300418e-09,4.86173432287229e-05,7.79646673275451e-10
"2319",30,58,0.415639202608226,0.415639191948911,1.06593149862277e-08,1.84571910258685e-05,6.75297789467467e-09
"2320",30,59,0.41567921492398,0.415679185898731,2.90252490375842e-08,2.15467267367317e-05,1.73105441521543e-08
"2321",30,60,0.415671225782467,0.41567121502203,1.07604369858905e-08,1.3566455521458e-05,7.10053986849694e-09
"2322",30,61,0.415644964885088,0.415644960998505,3.8865829998791e-09,1.26914133534047e-05,2.38159185388654e-09
"2323",30,62,0.415665263378313,0.415665232017218,3.13610949986831e-08,7.59201017796016e-06,1.87586833649408e-08
"2324",30,63,0.415647150458532,0.415647140134498,1.03240340165733e-08,1.0509914035967e-05,6.2126901496921e-09
"2325",30,64,0.415650153828984,0.415650081470691,7.23582930239886e-08,7.53567840590553e-06,4.63395173444871e-08
